desviations_matrix_abs,subj,cond
0.01481579265507,CRES5,CONTROL
0.00449236959806298,CRES5,CONTROL
0.048703191027431,CRES5,CONTROL
0.070636029838432,CRES5,CONTROL
0.0336201846702484,CRES5,CONTROL
0.0314334406224102,CRES5,CONTROL
0.044642964535959,CRES5,CONTROL
0.038871754484227,CRES5,CONTROL
0.0284130899641429,CRES5,CONTROL
0.067426764915323,CRES5,CONTROL
0.010150602209926,CRES5,CONTROL
0.025603029070751,CRES5,CONTROL
0.148559521101948,CRES5,CONTROL
0.012895337613382,CRES5,CONTROL
0.004598292687398,CRES5,CONTROL
0.0236629990129249,CRES5,CONTROL
0.0597104488547761,CRES5,CONTROL
0.064345283926175,CRES5,CONTROL
0.045578711870549,CRES5,CONTROL
0.0864923980491973,CRES5,CONTROL
0.1769811098224,CRES5,CONTROL
0.00826244758260103,CRES5,CONTROL
0.10299975056224,CRES5,CONTROL
0.161877951127612,CRES5,CONTROL
0.02337508991816,CRES5,CONTROL
0.0841148945486872,CRES5,CONTROL
0.027857402471867,CRES5,CONTROL
0.015411788631205,CRES5,CONTROL
0.00515458735279806,CRES5,CONTROL
0.0987001651053521,CRES5,CONTROL
0.0382643355396222,CRES5,CONTROL
0.00115785443118999,CRES5,CONTROL
0.020245259816328,CRES5,CONTROL
0.005162616909625,CRES5,CONTROL
0.0615294328788502,CRES5,CONTROL
0.01397469903717,CRES5,CONTROL
0.003124894119274,CRES5,CONTROL
0.061641537130679,CRES5,CONTROL
0.020252088912546,CRES5,CONTROL
0.0607189433816341,CRES5,CONTROL
0.070155570356235,CRES5,CONTROL
0.066251665840169,CRES5,CONTROL
0.049602260489051,CRES5,CONTROL
0.027862463368556,CRES5,CONTROL
0.10135982900891,CRES5,CONTROL
0.00458196129154997,CRES5,CONTROL
0.130186309073706,CRES5,CONTROL
0.055204264825485,CRES5,CONTROL
0.182461036313375,CRES6,CONTROL
0.187443578230031,CRES6,CONTROL
0.084440873598617,CRES6,CONTROL
0.14413900868952,CRES6,CONTROL
0.0553472248653741,CRES6,CONTROL
0.0924875176840211,CRES6,CONTROL
0.293300483824072,CRES6,CONTROL
0.134530891195626,CRES6,CONTROL
0.077849758901876,CRES6,CONTROL
0.015135853518207,CRES6,CONTROL
0.064141975285024,CRES6,CONTROL
0.184425641925169,CRES6,CONTROL
0.0532501192758021,CRES6,CONTROL
0.0706757042359861,CRES6,CONTROL
0.0111301931533417,CRES6,CONTROL
0.189028670223878,CRES6,CONTROL
0.061551805159029,CRES6,CONTROL
0.041194735744592,CRES6,CONTROL
0.00716624359930901,CRES6,CONTROL
0.124891515833041,CRES6,CONTROL
0.118354035033102,CRES6,CONTROL
0.066343081349724,CRES6,CONTROL
0.060296590566019,CRES6,CONTROL
0.0221635573761979,CRES6,CONTROL
0.042016673787625,CRES6,CONTROL
0.1500240869411,CRES6,CONTROL
0.120480733495019,CRES6,CONTROL
0.104684165532674,CRES6,CONTROL
0.051502417128042,CRES6,CONTROL
0.125358163019482,CRES6,CONTROL
0.309488914154167,CRES6,CONTROL
0.094669557722109,CRES6,CONTROL
0.015227157881436,CRES6,CONTROL
0.0977584031728095,CRES6,CONTROL
0.032650130194719,CRES6,CONTROL
0.103933042871581,CRES6,CONTROL
0.081791888770435,CRES6,CONTROL
0.0240252658068127,CRES6,CONTROL
