Correlation of SP -absolutevalue),inter condition
0.917408664395383,CONTROL-SLEEP
0.70018066049936,CONTROL-SLEEP
0.589043802576528,CONTROL-SLEEP
0.658914378375162,CONTROL-SLEEP
0.926114303113256,CONTROL-SLEEP
0.92050597994449,CONTROL-SLEEP
0.938817709580117,CONTROL-SLEEP
0.940233778958725,CONTROL-SLEEP
0.95506370416106,CONTROL-SLEEP
0.936490687826968,CONTROL-SLEEP
0.9355274435195,CONTROL-SLEEP
0.579891693860511,CONTROL-SLEEP
0.507052295710444,CONTROL-SLEEP
0.567017644940807,CONTROL-SLEEP
0.941855672601877,CONTROL-SLEEP
0.964371742227278,CONTROL-SLEEP
0.971051138810738,CONTROL-SLEEP
0.960145616129687,CONTROL-SLEEP
0.968237935986952,CONTROL-SLEEP
0.960843979079154,CONTROL-SLEEP
0.965185478515387,CONTROL-SLEEP
0.602432646163564,CONTROL-SLEEP
0.542458921714857,CONTROL-SLEEP
0.58651602293005,CONTROL-SLEEP
0.852977577599415,CONTROL-SLEEP
0.873985412889113,CONTROL-SLEEP
0.886786516509861,CONTROL-SLEEP
0.877576134646465,CONTROL-SLEEP
0.855650897511616,CONTROL-SLEEP
0.84244570698609,CONTROL-SLEEP
0.887710825073555,CONTROL-SLEEP
0.653241525242554,CONTROL-SLEEP
0.536262294460286,CONTROL-SLEEP
0.612045264012052,CONTROL-SLEEP
0.856547920653281,CONTROL-SLEEP
0.841752120223524,CONTROL-SLEEP
0.855659555365948,CONTROL-SLEEP
0.894203878997588,CONTROL-SLEEP
0.866778650794392,CONTROL-SLEEP
0.871309380535882,CONTROL-SLEEP
0.830609848193783,CONTROL-SLEEP
0.530383973301129,CONTROL-SLEEP
0.402026157399702,CONTROL-SLEEP
0.49469487545858,CONTROL-SLEEP
0.920442790580934,CONTROL-SLEEP
0.930854003708521,CONTROL-SLEEP
0.927918898879983,CONTROL-SLEEP
0.948388389567511,CONTROL-SLEEP
0.928270632630444,CONTROL-SLEEP
0.898225450491158,CONTROL-SLEEP
0.915721550881521,CONTROL-SLEEP
0.645447378753211,CONTROL-SLEEP
0.566041054155173,CONTROL-SLEEP
0.616484213054384,CONTROL-SLEEP
0.949158011928871,CONTROL-SLEEP
0.938904783752128,CONTROL-SLEEP
0.955539069605939,CONTROL-SLEEP
0.949160668921564,CONTROL-SLEEP
0.969272274341202,CONTROL-SLEEP
0.933845790749463,CONTROL-SLEEP
0.943398949858555,CONTROL-SLEEP
0.595957363892014,CONTROL-SLEEP
0.531931832111433,CONTROL-SLEEP
0.577480288472112,CONTROL-SLEEP
0.879365250533044,CONTROL-SLEEP
0.911014389142921,CONTROL-SLEEP
0.927348371624579,CONTROL-SLEEP
0.898321441401381,CONTROL-SLEEP
0.916271281335696,CONTROL-SLEEP
0.875798899283491,CONTROL-SLEEP
0.928909611292824,CONTROL-SLEEP
0.626215295886834,CONTROL-SLEEP
0.555160231714875,CONTROL-SLEEP
0.584938523601552,CONTROL-SLEEP
0.95202165070701,CONTROL-SLEEP
0.923465523296473,CONTROL-SLEEP
0.943428211993015,CONTROL-SLEEP
0.945470787619647,CONTROL-SLEEP
0.962814430975975,CONTROL-SLEEP
0.93532800894975,CONTROL-SLEEP
0.924052239544924,CONTROL-SLEEP
0.551822629712374,CONTROL-SLEEP
0.487770472823069,CONTROL-SLEEP
0.533435039679155,CONTROL-SLEEP
0.934510663203959,CONTROL-SLEEP
0.927299050742313,CONTROL-SLEEP
0.94401750935414,CONTROL-SLEEP
0.943704698885624,CONTROL-SLEEP
0.942488214289125,CONTROL-SLEEP
0.910407688871867,CONTROL-SLEEP
0.933637126841189,CONTROL-SLEEP
0.627085181539063,CONTROL-SLEEP
0.526580969373539,CONTROL-SLEEP
0.60191775061079,CONTROL-SLEEP
0.911908089465392,CONTROL-SLEEP
0.937883314697765,CONTROL-SLEEP
0.932416639608143,CONTROL-SLEEP
0.950340506418938,CONTROL-SLEEP
0.928491159583282,CONTROL-SLEEP
0.915867226155314,CONTROL-SLEEP
0.943939113949159,CONTROL-SLEEP
0.61114785135383,CONTROL-SLEEP
0.52983512372139,CONTROL-SLEEP
0.591019138372375,CONTROL-SLEEP
0.930646896984797,CONTROL-SLEEP
0.916615186467335,CONTROL-SLEEP
0.939193489526612,CONTROL-SLEEP
0.935470553325983,CONTROL-SLEEP
0.942122744530532,CONTROL-SLEEP
0.91354110132524,CONTROL-SLEEP
0.931186637483092,CONTROL-SLEEP
0.596374163504965,CONTROL-SLEEP
0.50786416987435,CONTROL-SLEEP
0.575542422197567,CONTROL-SLEEP
0.884609480940774,CONTROL-SLEEP
0.918820839510815,CONTROL-SLEEP
0.924700020760486,CONTROL-SLEEP
0.914243448558415,CONTROL-SLEEP
0.914290465879825,CONTROL-SLEEP
0.864729711532801,CONTROL-SLEEP
0.916731142740955,CONTROL-SLEEP
0.733321144580531,CONTROL-SLEEP
0.620163796054593,CONTROL-SLEEP
0.681516570475366,CONTROL-SLEEP
0.872345489130175,UWS-SLEEP
