sp_corrmatrix,subj,cond
0.36110533829351,C1,CONTROL
-0.400777949906625,C1,CONTROL
0.100419285714519,C1,CONTROL
0.693455096838347,C1,CONTROL
-8.63061299564323E-05,C1,CONTROL
-0.592228179996431,C1,CONTROL
0.493461378576102,C1,CONTROL
-0.265780995944927,C1,CONTROL
-0.649188061212521,C1,CONTROL
-0.196598001017706,C1,CONTROL
0.390539236625853,C1,CONTROL
0.284172382703253,C1,CONTROL
-0.0865656201966164,C1,CONTROL
0.209780076200204,C1,CONTROL
0.0220856235041017,C1,CONTROL
-0.21763360124792,C1,CONTROL
-0.425474908625025,C1,CONTROL
-0.35470607312791,C1,CONTROL
-0.444086372195491,C1,CONTROL
0.20874041642922,C1,CONTROL
-0.546190327952439,C1,CONTROL
0.0577879254808007,C1,CONTROL
0.78729334839026,C1,CONTROL
-0.665330600899627,C1,CONTROL
-0.323606205000564,C1,CONTROL
0.358843558717323,C1,CONTROL
-0.288787792911872,C1,CONTROL
0.0105080965448022,C1,CONTROL
-0.554317716187107,C1,CONTROL
-0.128464204555928,C1,CONTROL
-0.261063892706866,C1,CONTROL
-0.476531106581175,C1,CONTROL
-0.084949015834173,C1,CONTROL
0.253099814857014,C1,CONTROL
-0.183550814743364,C1,CONTROL
-0.625260425077417,C1,CONTROL
0.708816338659031,C1,CONTROL
-0.0989086008113129,C1,CONTROL
-0.520957626284534,C1,CONTROL
0.130871820674739,C1,CONTROL
0.24614615711438,C1,CONTROL
0.0638717308159499,C1,CONTROL
0.362545399239277,C1,CONTROL
-0.0763288345786592,C1,CONTROL
-0.495093427037364,C1,CONTROL
-0.616156449474284,C1,CONTROL
0.0228735760333337,C1,CONTROL
0.653016321401964,C1,CONTROL
-0.22169322047221,C1,CONTROL
0.319144854834468,C1,CONTROL
-0.417597561779522,C1,CONTROL
0.128153815870408,C1,CONTROL
0.385215220889534,C1,CONTROL
0.219298364013661,C1,CONTROL
0.249185673102748,C1,CONTROL
0.517573627081056,C2,CONTROL
-0.347338979014089,C2,CONTROL
0.234134596897182,C2,CONTROL
0.769526556056961,C2,CONTROL
0.0251485569770915,C2,CONTROL
-0.636575169854994,C2,CONTROL
0.504415251858048,C2,CONTROL
-0.446021429223521,C2,CONTROL
-0.642315054620448,C2,CONTROL
-0.270929431402385,C2,CONTROL
